name,email,url
American Society of Agricultural and Biological Engineers,tamu.asabe.president@gmail.com,https://maroonlink.tamu.edu/organization/asabe
Biomedical Engineering Graduate Student Association,tamubmegsa@gmail.com,https://sites.google.com/tamu.edu/tamubmegsa
Chemical Engineering Undergraduate Student Advisory Council (CHEN-USAC),tamuchenusac@gmail.com,https://tamuchen-usac.weebly.com/
Developer Student Club at Texas A&M University,dsc.tamu@gmail.com,https://tx.ag/gdscweb
Insightful Connections,insightfulconnections@gmail.com,https://maroonlink.tamu.edu/organization/ic
Latino Logradores,latinologradores@gmail.com,https://latinologradores.wixsite.com/website-1
Mentorship in Ocean Engineering,,http://Texas A&M University
National Association of Corrosion Engineers Texas A&M University Student Chapter ,tamunace1@gmail.com,
National Organization for Business and Engineering,,https://www.nobetexasam.org/
Society for the Advancement of Material and Process Engineering,sampe.tamu@gmail.com,http://sampe.tamu.edu
Statistics Graduate Student Association,,https://tamusgsa.github.io/
Tethered Informatics and Data Analytics Lab at Texas A&M University,tidaltamu@gmail.com,https://tidalwaive.com/
Texas A&M Solar Car Racing Team,tamusolar@gmail.com,
Texas A&M University Robotics Team and Leadership Experience ,turtlerobotics@gmail.com,https://maroonlink.tamu.edu/organization/turtle
Aggie Aquarium Association,aggieaquarium@gmail.com,http://aggieaquarium.tamu.edu
Aggie REPS for the Department of Agricultural Economics,,
Aggie Women in Entomology,womeninentomology.tamu@gmail.com,http://awetamu.weebly.com
Agricultural Economics Society,,
Agricultural Systems Management,,http://agsm.tamu.edu/
ALEC Graduate Student Society ,,
"American Fisheries Society, Texas A&M University Chapter",afstamu@gmail.com,http://tamuafs.tamu.edu
Association of Anthropology Graduate Students,,
Biological & Agricultural Engineering Graduate Student Association,achla@tamu.edu,http://baen.gsc.edu
Campus Nature RX Network,,
Cannabis Hemp Innovation League,chilmembers@gmail.com,
Coastal Conservation Association Aggieland Chapter,tamucca@gmail.com,https://www.facebook.com/aggielandcca/
College of Agriculture & Life Sciences Student Council,coalscouncil@gmail.com,http://www.tamucoalscouncil.com
"Department of Agriculture Leadership, Education and Communications Aggie Reps",tamu.alec.aggiereps@gmail.com,http://tx.ag/ALECReps
Entomology Graduate Student Organization,entograds@gmail.com,http://tamuegso.weebly.com/
Graduate Student Organization Agriculture Economics,GSAAGECTAMU@gmail.com,https://agecograds.tamu.edu/graduatestudentassociation/
Horticulture Graduate Council,,https://www.facebook.com/TamuHorticultureGraduateCouncil?ref_type=bookmark
McAllen Agricultural Economics Club,,
National Agri-Marketing Association,texagsnama@gmail.com,https://www.facebook.com/TexAgsNAMA
Plant Pathology Graduate Student Club,,
Poultry Science Club,allyson.spears@ag.tamu.edu,http://posc.tamu.edu/students/poultry-science-club/
Poultry Science Graduate Student Association,psgsa.tamu@gmail.com,
"Rangeland, Wildlife & Fisheries Management Graduate Student Organization",,http://Instagram: TAMU_RWFM_GSO
RPTS Council,,
Saddle & Sirloin Club,tamusaddleandsirloin@gmail.com,http://tamusaddleandsirloin.org/
Sigma Alpha Sorority (National Agriculture Sorority),aggiesigmaalpha@gmail.com,http://www.sigmaalpha.org
Soil & Crop Sciences Graduate Organization,scgo.tamu@gmail.com,
Sustainable Agriculture Student Association,thehowdyfarm@gmail.com,http://tamuhowdyfarm.weebly.com
TAMU Chapter of the Agricultural Communicators of Tomorrow,dunsford@tamu.edu,https://www.facebook.com/TAMUACT/
TAMU Horticulture Club,tamuhorticultureclub@gmail.com,"https://sites.google.com/site/tamuhorticultureclub/ (Outdated, use email instead)"
TAMU Student Chapter: Society of American Foresters,,http://eccb.tamu.edu
TAMU Undergraduate Entomology Club,aggie.ueso@gmail.com,http://www.facebook.com/pages/TAMU-Undergraduate-Entomology-Student-Organization/17410297827
Texas A&M Agronomy Society,aggieagronomysociety@gmail.com,https://maroonlink.tamu.edu/organization/agronsoc
Texas A&M Dairy Science Club,tamudairyscience@gmail.com,https://www.facebook.com/TexasAmDairyScienceClub
Texas A&M Horsemen's Association,aggiehorsemens@gmail.com,http://www.aggiehorsemen.wix.com/tamu
Texas A&M Meat Science and Technology Association,msta.tamu@gmail.com,
Texas A&M University Aggie Turfgrass Management Club,,http://turfclub.tamu.edu
Texas A&M University Collegiate FFA Alumni,tamucollegiateffa@gmail.com,http://maroonlink.tamu.edu/organization/cffa
Texas A&M University Food Science Club,food.science.tamu12@gmail.com,https://foodsciencetamu12.wixsite.com/nfsc
Texas A&M University Student Chapter of The Wildlife Society,wildlife@listserv.tamu.edu,http://wildlifesociety.tamu.edu
Animal Science Ambassadors,,
Animal Science Graduate Student Association,asgsa@ag.tamu.edu,https://www.facebook.com/tamuasgsa/
Animal Welfare and Behavior Club,tamuawbc@gmail.com,https://awbcofficerteam.wixsite.com/animal-welfare-and-b
"Minorities in Agriculture, Natural Resources and Related Sciences",tamumanrrs@gmail.com,http://manrrs.org
Aggie Women in Construction,awic@awic.tamu.edu,https://maroonlink.tamu.edu/organization/awic
American Institute of Architecture Students,tamuaias@gmail.com,http://tamuaias.wix.com/tamuaias
Associated Builders and Contractors,abcpresident@tamu.edu,http://ABCosc.tamu.edu
Association of Student Planners,tamu.asp21@gmail.com,https://tamuasp21.wixsite.com/tamuasp
Hazards and Disasters Student Association,Hazdis.tamu@gmail.com,
National Association of Home Builders,jacob.benzick@tamu.edu,https://www.nahb.org/
TAMU Associated General Contractors,agc@agc.tamu.edu,http://Texas A&M University
Texas A&M Student Chpt. of the American Society of Landscape Architects,sasla.tamu@gmail.com,https://tamu-asla.herokuapp.com/
The Real Estate Development Association,realestatedevelopmenttamu@gmail.com,https://maroonlink.tamu.edu/organization/reda
Urban & Regional Sciences Student Organization,,
Visualization Graduate Student Association,,
Civil Materials Students Organization,chauncy0104@tamu.edu,https://maroonlink.tamu.edu/organization/cmso
Bush School International City Management Association Chapter,,
George Bush School Student Government Association,sga@bushschool.tamu.edu,http://bushschoolsga.tamu.edu
The Ambassadors of the George Bush School of Government and Public Service,,
The Association of Fundraising Professionals,,http://www.linkedin.com/company/66716081
The Ready Room,bushschool.readyroom@tamu.edu,http://readyroom.online
Women in Public Service,tamuwips@gmail.com,
George Bush School Public Service Organization,islandsoftheblessed@tamu.edu,
Aggie ACHIEVEMates,aggieachievemates@gmail.com,https://aggieachievemates.wixsite.com/aggieachievemates
Aggie Aspiring Educators,tstaaetamu@gmail.com,https://sites.google.com/view/aggieaspiringeducators/home
Aggie Athletic Trainers' Association,aggieat@gmail.com,
Aggie Students in Human Resource Development,ashrd.tamu@gmail.com,http://ashrdtamu.wix.com/ashrd#!about-ashrd/c6v5
aggieTEACH,aggieteach@science.tamu.edu,http://aggieteachscience.tamu.edu
Association for Childhood Education,association.childhood.edu.tamu@gmail.com,https://associationchildho.wixsite.com/acetamu
Delta Eta Pi Dance Honor Society,deptamudance@gmail.com,
Graduate Representative Advisory Board,officers@grab.tamu.edu,http://grab.tamu.edu
Occupational Therapy Society,,http://tamuots.weebly.com/
Physical Education Activity Promotion,,
Sport Management Society,tamusms.president@gmail.com,http://tamusms.wix.com/tamusms
Student Coaches Association,coachingacademy@tamu.edu,https://coachingacademy.tamu.edu/
Student Council for Exceptional Children,scecpr@gmail.com,https://sites.google.com/view/tamuscec/home
Tactical Athlete Research Unit,,
Technology Management Society,tcmgsociety.info@gmail.com,https://tcmgsociety.github.io/
TLAC Graduate Student Association,,
Workforce Adult & Lifelong Education Society,wale@tamu.edu,
Educational Psychology Student Organization,epso@tamu.edu,http://Texas A&M University
Freshman Leaders in Education and Human Development,fledtamu@gmail.com,http://fledtamu.com
Physical Therapy Society,ptclub@ptclub.tamu.edu,http://www.ptsocietytamu.com/
School of Education and Human Development Undergraduate Student Council,CEHDusc@tamu.edu,https://cehdusc3.wixsite.com/sehdusc
12th Astronaut Lab,,
2D Visual Developers,2dvisdev@gmail.com,https://linktr.ee/2dvd
Aerospace Engineering Graduate Student Association ,aegsa@tamu.edu,https://aegsa6.wixsite.com/aegsa
Aggie Aerospace Women in Engineering,aggieawe@gmail.com,http://AAWE.engr.tamu.edu
Aggie Club of Engineers,Tamuacepresident@gmail.com,http://aggieclubofengineers.org/
Aggie Competitive Programming Club,contact@tamuacpc.com,http://tamuacpc.com
Aggie Data Science Club,aggiedatascience@gmail.com,https://www.aggiedatascience.com/
Aggie Robotics,aggie.robotics@tamu.edu,https://www.aggierobotics.org/
Aggie Students Supporting Israel,ssihowdy@gmail.com,
Aggie Women in Computer Science at Texas A&M University,tamu.awics@gmail.com,https://www.awics.org
Aggies Create,aggiescreate@gmail.com,http://aggiescreate.com
AggieSat Laboratory,aggiesat@tamu.edu,http://aggiesat.tamu.edu/
Alpha Omega Epsilon,tamuaoe@gmail.com,http://www.aggieaoe.com/
American Chemical Society Polymer chemistry/Polymeric Materials: Science and Engineering Student Chapter,polypmse-sc@lists.tamu.edu,https://www.facebook.com/tamupolypmse
American Institute of Aeronautics and Astronautics,aiaa.tamu@gmail.com,http://tamuaiaa.org
American Institute of Chemical Engineers,president.aichetamu@gmail.com,http://www.aichetamu.org/
American Nuclear Society,ans@tamu.edu,https://ans-tamu.weebly.com/
American Rock Mechanics Association Texas A&M University Student Chapter,,http://Texas A&M University
American Society of Civil Engineers (J.T.L. McNew Chapter),president@tamuasce.com,http://tamuasce.com
American Society of Mechanical Engineers,meen-asme@tamu.edu,http://tamuasme.com
Architectural Engineering Institute - Texas A&M Chapter,aei.tamu@gmail.com,https://aeitamu.wixsite.com/my-site
Association of Environmental Engineering Students,vp.aeestamu@gmail.com,
Biomedical Engineering Society,tamubmes.president@gmail.com,https://www.bmestamu.com/
Bold Leaders in Urban Education,bluetamu@gmail.com,
Chemical Engineering Graduate Student Association,chen-chegsa@tamu.edu,https://www.chegsatamu.com
Civil and Environmental Engineering Graduate Student Association  ,ceegsatamu2020@gmail.com,
Computer Science and Engineering Graduate Student Association,csegsa@cse.tamu.edu,http://csegsa.cse.tamu.edu
Electrical and Computer Engineering Graduate Student Association,ecegsa@tamu.edu,http://ecegsatamu.com
Engineering Mentorship Council,director.emc.tamu@gmail.com,https://emctamu.wixsite.com/engineeringmentors
Engineers for a Sustainable World,tamu.esw@gmail.com,https://www.tamuesw.com/
Engineers Serving the Community,esctamu.president@gmail.com,https://sites.google.com/view/esctamu/home
"FEST - (Freshman in Engineering, Science, and Technology)",fest.tamu@gmail.com,http://tamufest.org
Freshmen Reaching Excellence in Engineering,tamufreeflo@gmail.com,http://freefreshmen.com
Grace Chinese Student Fellowship,,
IEEE-Power Engineering Society-Industry Application Society-Power Electronics Society Joint Student Chapter,ieee.tamu.power.sc@gmail.com,https://eppei.squarespace.com/
IEEE-Tech Electrical and Electronics Engineers,ieeetech@gmail.com,http://ieeetech.tamu.edu
Industrial and Systems Engineering Graduate Student Association,,
Institute of Industrial and Systems Engineers,iise.tamu@gmail.com,https://www.tamuiise.com/
Institute of Transportation Engineers,tamuite.president@gmail.com,http://tamu.texite.org
Internal Audit Program - Student Association,tamuia@mays.tamu.edu,https://urldefense.com/v3/__https://www.tamuiapsa.com/__;!!KwNVnqRv!XepY4UHlOxc25078X5QLKsKowho49VbSDvLKErJN5fIDEh_JvdrG0YuzFL2qADGb9Q$
League of United Latin American Citizens Council 22424,lulac.22424@gmail.com,
"MAES: Latinos in Science and Engineering, Texas A&M University Chapter",maestamu.main@gmail.com,https://www.maestamu.org
Marine Technology Society,mtssnametamu@gmail.com,http://mtssname.tamu.edu/
Materials Advantage,materials.advantage.tamu@gmail.com,
Materials Science and Engineering Ambassadors,msen-ambassadors@tamu.edu,https://engineering.tamu.edu/materials/advising/MSEN-Student-Ambassadors.html
Mays Transfer Organization ,maystransferorg@gmail.com,
McAllen Society of Automotive Engineers,,
Mechanical Engineering Female Grad Students,mefegs@tamu.edu,https://www.mefegstamu.org/
Mechanical Engineering Graduate Student Organization,megso@tamu.edu,https://tamumegso.org
National Organization of Minority Architecture Students - Texas A&M University Chapter,,https://www.instagram.com/tamu_nomas/
National Society of Black Engineers,tamunsbe.chair71@gmail.com,http://tamunsbe.org
Neurodivergent ; Aggies,ndaggies@gmail.com,
Omega Epsilon,clay.cald124@tamu.edu,http://omegaepsilon.tamu.edu/
Palestine Solidarity Committee,psc.tamu@gmail.com,
Panel of Herox Aggie Student Engineers,,
"Phi Beta Sigma Fraternity, Inc.",tamusigmas95@gmail.com,https://phibetasigma1914.org/
Phi Sigma Rho,phirho.tamu@gmail.com,http://tamuphisigmarho.com
Physics and Astronomy Graduate Student Assembly,gsa@physics.tamu.edu,http://tx.ag/PandAGSA
Presente en la Lucha de Mama,,
Product@TAMU,,
Professional Association for Industrial Distribution,president@tamupaid.org,https://paid.tamu.edu
Robomaster Robotic,tamurobomasters@gmail.com,http://tamurobomasters.com
Sikh Students Association,,http://Texas A&M
Society of Asian Scientists & Engineers,sasetamu@gmail.com,http://sasetamu.org
Society of Automotive Engineers,president.sae.tamu@gmail.com,http://Texas A&M University
Society of Flight Test Engineers,sftetamu@gmail.com,https://sftetamu9.wixsite.com/website
Society of Hispanic Professional Engineers,tamushpe@gmail.com,http://www.tamushpe.org
Society of Manufacturing Engineers,sme.tamu.s099@gmail.com,http://smetamu.weebly.com
Society of Naval Architects and Marine Engineers,rgalindo2002@tamu.edu,https://maroonlink.tamu.edu/organization/mts
Society of Plastic Engineers,spe@plastics.tamu.edu,http://Texas A&M University
Society of Sonic Flight Engineers ,,
Society of Women Engineers,president@swetamu.org,http://www.swetamu.com/
Society of Women in Industrial Distribution,swidpresident@gmail.com,https://swidtamu.wordpress.com
Soul Purpose a Cappella,,
Spanish Involvement and Community Outreach,sicotamu@gmail.com,
Sports Analytics Club,,
Student Engineers' Council,president@sec.tamu.edu,http://sec.tamu.edu
Students of Eastern Africa,tamusea23@gmail.com,https://tamusea23.wixsite.com/tamusea
T minus,,
TAMU Fluid Power Club,,
Texas A&M College of Veterinary Medicine Officer Team,Drparsons@cvm.tamu.edu,http://None at the moment
Texas A&M Computing Society,tacs-officers@lists.tamu.edu,http://tacs.tamu.edu
Texas A&M Fly Fishing Club,tamuflyclub@gmail.com,http://tamuflyfishingassociation.tamu.edu
Texas A&M Student Branch of The ASHRAE,ashraetamuwebmaster@gmail.com,http://m.facebook.com/ASHRAE.TAMU
Texas A&M Student Section of the Structural Engineers Association of Texas,,http://seaot.tamu.edu/
Texas A&M University Chapter of Geo-Institute,tamugi22@gmail.com,https://maroonlink.tamu.edu/organization/gi
Texas A&M University Sounding Rocketry Team,tamurocketry@gmail.com,http://tamusrt.org
"Texas A&M University Student Branch, American Society for Quality",tamuasq@gmail.com,
Texas A&M University Student Chapter of the Society of Petroleum Engineers,Tamu.spe.president@gmail.com,https://www.tamuspe.org/
Texas Aggie Bankruptcy Society,,
Texas Blockchain at A&M,tamublock@gmail.com,http://tamublockchain.xyz
The Entrepreneur Connection,aggietecinfo@gmail.com,http://N/A
"The Institute of Electrical and Electronics Engineers, Inc.",ieeetamu.officers@gmail.com,http://www.ieee-tamu.org/
THE SOCIETY OF MECHATRONICS ENGINEERING TECHNOLOGY,somtech.mxet@gmail.com,https://somtech.bio.link/
Theta Tau,thetatau.xigamma@gmail.com,http://www.tamuthetatau.com
Volunteers Around the World- Veterinary Outreach Texas A&M,,https://www.volunteersaroundtheworld.org/
Women In Nuclear,,
Society of Women in Space Exploration,swisetamu@gmail.com,https://swisetamu.wixsite.com/swise
American Society for Engineering Management at Texas A&M University,,
American Society of Agricultural and Biological Engineers,tamu.asabe.president@gmail.com,https://maroonlink.tamu.edu/organization/asabe
Biomedical Engineering Graduate Student Association,tamubmegsa@gmail.com,https://sites.google.com/tamu.edu/tamubmegsa
Chemical Engineering Undergraduate Student Advisory Council (CHEN-USAC),tamuchenusac@gmail.com,https://tamuchen-usac.weebly.com/
Developer Student Club at Texas A&M University,dsc.tamu@gmail.com,https://tx.ag/gdscweb
Insightful Connections,insightfulconnections@gmail.com,https://maroonlink.tamu.edu/organization/ic
Latino Logradores,latinologradores@gmail.com,https://latinologradores.wixsite.com/website-1
Mentorship in Ocean Engineering,,http://Texas A&M University
National Association of Corrosion Engineers Texas A&M University Student Chapter ,tamunace1@gmail.com,
National Organization for Business and Engineering,,https://www.nobetexasam.org/
Society for the Advancement of Material and Process Engineering,sampe.tamu@gmail.com,http://sampe.tamu.edu
Statistics Graduate Student Association,,https://tamusgsa.github.io/
Tethered Informatics and Data Analytics Lab at Texas A&M University,tidaltamu@gmail.com,https://tidalwaive.com/
Texas A&M Solar Car Racing Team,tamusolar@gmail.com,
Texas A&M University Robotics Team and Leadership Experience ,turtlerobotics@gmail.com,https://maroonlink.tamu.edu/organization/turtle
"American Association of Petroleum Geologists, Student Chapter",tamu.aapg@gmail.com,http://Texas A&M
Atmospheric Sciences Graduate Council,,https://maroonlink.tamu.edu/organization/asgc
Geology & Geophysics Graduate Student Council,tamu.gggsc@gmail.com,https://sites.google.com/view/tamugggsc/home?authuser=0
National Association of Black Geoscientists,tamu.nabg@gmail.com,
Sigma Gamma Epsilon,tamu.sge@gmail.com,https://secure.touchnet.com/C21490_ustores/web/store_main.jsp?STOREID=435
Student Geosciences' Council,SGC.TAMU@gmail.com,
Texas A&M Geographical Society,thetamugeographysociety@gmail.com,https://sites.google.com/view/tamu-geography-society/home
Texas A&M Oceanography Club ,tamu.ocean@gmail.com,
Texas A&M Student Chapter of the American Meteorological Society,acdavis01@tamu.edu,https://atmo.tamu.edu/undergraduate-students/student-success/index.html
Texas A&M University SACNAS Chapter,tamusacnas@gmail.com,https://tamusacnas.wixsite.com/tamusacnas
Women in Geosciences ,womeningeosciences@gmail.com,http://tamuwig.com
Texas A&M University Geology and Geophysics Society,tamuggsociety@gmail.com,http://ggsociety.org
Ecology and Conservation Biology Graduate Student Association,eccbgsa.tamu@gmail.com,https://eccb.tamu.edu/eccb-grad-group/
Oceanography Graduate Council,mvaras@tamu.edu,http://Texas A&M Oceanography
Texas A&M University Geophysical Society ,seg.tamu@gmail.com,http://www.segtamu.com
Academy of General Dentistry FellowTrack,,
Aesthetic and Cosmetic Dentistry Club,acdcdentistry@gmail.com,
Agape Family Medicine Clinic,,
"Aggie Mind, Body, Soul",,
Aggie Newborn and Obstetrics Nurses Association,,
Aggie Pediatric Nursing Association,,
Aggies in Aerospace Medicine,,
Aggies Pursuing Healthcare,aphtamu@gmail.com,https://www.aphtamu.com/
American Association of Neurological Surgeons,,
American Cancer Society: Texas A&M School of Medicine Chapter,andrew.olsen@cancer.org,https://secure.acsevents.org/site/TR?fr_id=104879&pg=entry
Asian Pacific American Medical Student Association,apamsa.tamucom@gmail.com,
Association of Women Surgeons,,
Biomedical Sciences Association,tamubsapres@gmail.com,https://www.tamubsa.com/
Breaking Barriers,,
Building Researchers and Innovators in Neuroscience and Society,tamin.sandi@gmail.com,http://tamin.tamu.edu/brains/
College of Medicine Graduate Student Organization,COM-GSO@tamu.edu,https://medicine.tamu.edu/academics/graduate-studies/gso.html
Community Health Coalition,Mnl0712@tamu.edu,http://None
Delta Sigma Delta,,https://www.deltsig.com/
DH2 Class of 2023,,
Gillespie Anesthesiology Student Society,,https://medicine.tamu.edu/academics/students/organizations/gass.html
Healthcare Finance Association,,
Hispanic Student Dental Association,hsdatamucod@gmail.com,https://maroonlink.tamu.edu/organization/hispanicstudentdentalassociation
ISPOR Student Chapter at TAMU,toneyduong@exchange.tamu.edu,http://www.ISPOR.org
Latino Medical Student Association Pre-med Latino Undergraduate Society,lmsaplustamu@gmail.com,https://tinyurl.com/lmsaplustamu
LIGHT,,
Maroon Health,,
McAllen Border Pre-Med Society,hecmborderpre.med@gmail.com,
Medical Group Management Association,tamu.mha.orgs@gmail.com,http://mgma.tamu.edu
Men in Nursing ,mufich@tamu.edu,https://www.aamn.org/
Muslim Medical Student Association,,http://medicine.tamu.edu
Nurses Christian Fellowship,,https://www.facebook.com/groups/178834129704208/?ref=bookmarks
Nutrition Honors Association,,
Partners in Health Engage A&M,,
Pharmacy College Organization Group,,
Public Health Student Organization,phso.tamu@gmail.com,https://phsotamu.wixsite.com/phso-tamu
Student American Dental Hygienists Association,,
Student Health Environments Association,Sheatamu@gmail.com,http://shea.tamu.edu
